Item Name,NS ID,Comment 1,Comment 2,Comment 3,Comment 4,Comment 5,Comment 6,Comment 7,Comment 8,Comment 9,Comment 10,Comment 11,Comment 12,Comment 13,Comment 14,Comment 15,Comment 16,Comment 17,Comment 18,Comment 19,Comment 20
G10511 AMERIPAC,1250,*        *        *         *           *,GRADE: 25 LB QUILON,*,COATING: NONE,*,SIZE: 18 X 26" SHEETS,*,PACK: 2000 SHEETS USE AP-1 CTN STACK ON 44 X 44" SKI,NO STAPLES  NO DIRT,*,LABEL: ITEM SIZE QTY P/N 124050 BETTER BAKE PO#,MFR DATE.,*,END USE: BAKING PAN LINER,,,,,,,
G10512 AMERIPAC,1251,*,GRADE: 25 LB QUILON,*,COATING: NONE,*,SIZE: 18 X30" SHEETS,*,PACK: 2000 SHEETS IN PEREZ CTN. BULK,NO STAPLES NO DIRT.,*,LABEL: ITEM SIZE QTY P/N 124049 BETTER BAKE P.O.#,MFG. DATE,*,END USE:  BAKING PAN LINER,,,,,,,
G10535 ANTHONY,1253,ITEM:   ANTHONY'S WHITE BREAD,*,GRADE: 25 LB BLEACHED KRAFT MAX TEAR 38 MIN MULLEN 22,*,COATING: WET WAX TO 38# WITH GLOSSTITE FORMULA,*,SIZE: 21" WIDTH ROLLS,*,PACK: 1 RL PER PLASTIC BAG STACK ON PALLETS,*,LABEL: ITEM SIZE QTY.,*,PRINT: FLEXO PMS 459 BEIGEPMS 186 RED PMS REFLEX BLUE,*,REWIND: 10.5" OD 3"CORE. N-1 TO BE 3.75"CORE THICKNESS,*,END USE: HEAT SEALABLE BREAD WRAP,*,NOTE: KOSHER SYMBOL TO BE CUFF K,,
G10536 ANTHONY,1254,*,ITEM:  ANTHONY"S WHEAT BREAD WRAP,*,GRADE: 25 LB BLEACHED KRAFT MAX TEAR 38 MIN MULLEN 22,*,COATING: WET WAX WITH GLOSSTITE TO 38 LB FINISH,*,SIZE: 21" WIDTH ROLLS,*,PACK: 1 ROLL PER POLY BAG STACK ON PALLETS,*,LABEL: ITEM SIZE QTY,*,PRINT: FLEXO PMS 186 REDPMS 459 BEIGEPMS174 BROWN,*,REWIND: N-1 10.5"OD 3" CORE 3.750" CORE THICKNESS,*,END USE: HEAT SEALABLE BREAD WRAP,*,NOTE: KOSHER SYMBOL TO BE CUFF K,
G10551 APPCO,1255,GRADE: 25 LB BLEACHED      KRAFT +- 5%.,COATING: WET WAX TO 38#    SIZE: 16 X 11" SHEETS,PACK: 5/10# PACKAGES PER   CARTON.,LABEL: LABEL 10# INNER     PACKAGES 26P7:89 TYPE A,16 X 11" LABEL OUTER       CARTON CONTRACT# PO#,AND 16 X 11" WAXED SHEETS,5 PACKAGES 10 LBS EACH     SPEC# 26P7:89 TYPE A,APPCO PAPER CO. COMMODITY,CODE NO# 53P24880          END USE: FOOD WRAP.,,,,,,,,,,,,
G10552 APPCO,1256,GRADE: 25 LB. QUILON       SAME AS STOCK,COATING: NONE              SIZE: 16-3/8 X 24-3/8",SHEETS                     PACK: USE SUNSHINE,PRINTED PAN LINER BOXES    75 CS. PER PALLET,LABEL: NO NORPAK PALLET    TAGS,END USE: BAKING PAN LINER,,,,,,,,,,,,,,,
G10800 ARROW,1257,GRADE: 30 LB BLEACHED      KRAFT.,COATING: WET WAX TO 44#.   SIZE: 48" WIDTH,PACK: 1 ROLL PER BUNDLE.   STACK ON PALLETS.,LABEL: ITEM SIZE PLAIN   LABELS AND QUANTITY.,DIAMETER: 3" CORE 50 LBS   PER ROLL.,REWIND: 50 LBS PER ROLL    *,END USE: GARMENT ROLLS,,,,,,,,,,,,,,
G10880 AVI,1272,"MIGHTY BITE"              GRADE: EXCEL PAPER ONLY,COATING: NONE              *,SIZE: 16 X 16" SHEETS      PACK: 500 SHEETS PER PKG,6 PKGS PER CARTON. STACK   ON PALLETS,LABEL: MIGHTY BITE         SUBWRAP 6/500'S 16 X 16",COLORS: PRINT FLEXO PMS    RED,BROWN,BEIGE                      BLACK,END USE: FOOD WRAP,,,,,,,,,,,,
G10891 BAGCRAFT,3994,"SUBWAY SET UP PAPER"      GRADE: 18 LB. BLEACHED,KRAFT WET STRENGTH         "INTERFOLDED",COATING: DRY WAX TO 21 LB  FINISH,SIZE: 12 X 10-3/4" SHEETS  INTERFOLDED,PACK: USE CUSTOMERS        PRINTED SUBWAYS INNER,BOXES 500 SHEETS PER BOX,USE PLAIN "SUBWAY 6 "      OUTER CARTON. 6 BOXES,PER CARTON,LABEL: USE CUSTOMER        SUPPLIED PLAIN LABEL ON,BOTH SHORT SIDE PANELS     OF OUTER CASE STACK ON,40 X 48" 4 WAY PALLETS,9 PER LAYER 7 HIGH         ABSOLUTELY NO OVERHANG,ON PALLET,END USE: SANDWICH WRAPPER,,,,,,,
G10892 BAGCRAFT,3995,*            *          *           *           *,GRADE: 25 LB QUILON COATED GREASEPROOF,*,COATING: NONE,*,SIZE: 12-1/16 X 16-3/8" SHEETS,*,PACK: 2000 SHEETS PER PLAIN CTN. STACK ON PALLETS,4 BLOCK 13 HIGH,*,LABEL: USE SPECIAL CUSTOMER LABELS P/N 206,*,END USE: BAKING PAN LINER,,,,,,,,
G10893 BAGCRAFT,3996,*                  *                *                *,GRADE: 25 LB QUILON COATED GREASEPROOF,*,COATING: NONE,*,SIZE: 16-3/8 X 24-3/8" SHEETS,*,PACK: 1000 SHEETS PER CS . USE CUSTOMER'S PRINTED CT,STACK ON PALLETS 4 BLOCK 13 HIGH,*,LABEL: AS PER PRINTED CTN P/N 205,*,END USE: BAKING PAN LINERS,,,,,,,,
G11302 HT.BERRY,1280,GRADE: 35 LB. BLEACHED     KRAFT.,COATING: WET WAX TO 50 LB  FINISH.,SIZE; 8 X 6-1/2" SHEETS    PACK: 50 LB.#5 TELLY CTNS,LABEL: ITEMSIZEQUANTITY  *,END USE: CANDY             INTERLEAVER.,,,,,,,,,,,,,,,,
G11303 HT.BERRY,1281,GRADE: 35 LB. BLEACHED     KRAFT.,COATING: WET WAX TO 50 LB  FINISH.,SIZE: 8 X 10 SHEETS        PACK: 50 LB.#6 TELLY CTNS,CARTONS.                   LABEL:ITEMSIZEQUANTITY,END USE: CANDY             CANDY INERLEAVER.,,,,,,,,,,,,,,,,
G11304 HT.BERRY,1282,GRADE: 35 LB. BLEACHED     KRAFT.,COATING: WET WAXED TO 50   LB. FINISH.,SIZE: 10 X 15" SHEETS      PACK: 50 LB.#5 TELLY CTNS,LABEL:ITEMSIZEQUANTITY   *,END USE: CANDY             INTERLEAVER.,,,,,,,,,,,,,,,,
G11305 HT.BERRY,1283,GRADE: 35 LB. BLEACHED     KRAFT,COATING: WET WAX TO 50 LB  FINISH,SIZE: 8 X 14" SHEETS       PACK: 50 LB. BULK CARTONS,LABEL: ITEM SIZEQUANTITY  *,END USE: BOX LINER,,,,,,,,,,,,,,,,
G11306 HT.BERRY,1284,GRADE: 35 LB BLEACHED      KRAFT,COATING: WET WAX TO 50     LB FINISH,SIZE: 5-3/8 X 9-1/8"       SHEETS,PACK: 50 LB BULK CTNS      LABEL:ITEMSIZEQUANTITY,END USE: FOOD INTERLEAVER,,,,,,,,,,,,,,,,
G11307 HT.BERRY,1285,GRADE: 35 LB BLEACHED      KRAFT,COATING: WET WAX TO 50     LB FINISH,SIZE: 6-7/8 X 10-1/2"      SHEETS,PACK: 50 LB BULK CTNS      LABEL:ITEMSIZEQUANTITY,END USE: FOOD INTERLEAVER,,,,,,,,,,,,,,,,
G11601 BISMARCK,1289,GRADE: 40 LB BLEACHED      KRAFT (DO NOT USE COATED,STOCK),COATING: WET WAX TO 55 LB  FINISH.,SIZE: 18" WIDTH            *,PACK: 1 ROLL PER BUNDLE    DELWRAP WRAPPERS.,LABEL: USE DELWRAP         WRAPPER.,FOOTAGE: 1000 LINEAR FT.   PER ROLL 3" CORE.,REWIND: ROLLS TO WEIGH 25  LBS EACH.,END USE: FOOD WRAP.,,,,,,,,,,,,
G11602 BISMARCK,1290,*      *        *,GRADE: 39# PEACH MARKET FT JAMES,*,COATING: NONE,*,SIZE: 12" WIDTH ROLLS,*,PACK: 1 ROLL PER POLY BAG. STACK ON PALLETS 84RLS/SKI,*,LABEL: USE CUSTOMER LABEL 1 PER ROLL,*,REWIND: 14 LBS. PER ROLL 3" CORE,*,END USE: STEAK INTERLEAVER.,,,,,,,
G11700 BORAX,1291,GRADE: 25 LB QUILON        COATING: NONE,SIZE: 6-1/2 X 10" SHEETS   *,PACK: 10# PER PACKAGE 4    PACKAGES PER 18 X 18 SUB,TELLY CARTON.,LABEL: ITEM SIZE AND     QUANTITY.,END USE: GREASE PROOF BOX  LINER.,,,,,,,,,,,,,,,
G11702 BORAX,1292,GRADE: 35 LB BLEACHED      KRAFT.,COATING: WET WAX TO 50 LB  FINISH (NEED GOOD WET,WAX),SIZE: 8 X 10" SHEETS       *,PACK: 10#LB PGS IN CARTON  LABEL: SIZE ITEM AND,QUANTITY.                  END USE: FISH INTERLEAVER,,,,,,,,,,,,,,,
G11703 BORAX,1293,GRADE: 35# BLEACHED KRAFT  DO NOT USE COATED STOCK.,COATING: WET WAX TO 50 LB  FINISH.,SIZE: 7 X 9-3/8" SHEETS PACK: 50 LB PER CARTON,LABEL: ITEM SIZE AND QUANTITY,END USE: MEAT INTERLEAVER,,,,,,,,,,,,,,,,
G11704 BORAX,1294,GRADE: 35# BLEACHED KRAFT  DO NOT USE COATED STOCK.,COATING: WET WAX TO 50 LB  FINISH.,SIZE: 6-1/2 X 7-3/4"       SHEETS,PACK: 4/10# PACKAGES PER   CARTON.,LABEL: ITEM SIZE AND     QUANTITY.,END USE: MEAT INTERLEAVER,,,,,,,,,,,,,,,
G11705 BORAX,1295,GRADE: 30 LB BLEACHED      KRAFT.,COATING: DRY WAX TO 37 LB    -NEEDS SOME RELEASE-,SIZE: 8-3/4 X 8-3/4"       SHEETS,PACK: 20 LB BULK BUNDLES   LABEL: ITEM SIZE AND,QUANTITY.                  END USE: RAVIOLI PACKAGE,SEPARATOR.,,,,,,,,,,,,,,,
G11706 BORAX,1296,GRADE: 35 LB BLEACHED      KRAFT. DO NOT USE COATED,STOCK.,COATING: WET WAX TO 50 LB  FINISH.,SIZE: 7-1/2 X 10" WET WAX  *,PACK: 4 10#PKGS. PER CTNS  LABEL: ITEM SIZE AND,QUANTITY.                  END USE: MEAT INTERLEAVER,,,,,,,,,,,,,,,
G11707 BORAX,1297,GRADE: 35 LB BLEACHED      KRAFT.,COATING: WET WAX TO 50 LB  FINISH.,SIZE: 8 X 8" SHEETS        PACK: 10 LB PGS IN CTNS,LABEL: ITEM SIZE AND     QUANTITY.,END USE: BOX LINER,,,,,,,,,,,,,,,,
G11709 BORAX,1298,GRADE: 35 LB BLEACHED      KRAFT.,COATING: WET WAX TO 50 LB  FINISH.,SIZE: 5 X 7-3/4"           PACK: 10 LBS PER PACKAGE.,4 PACKAGES PER CARTON.     LABEL: ITEM SIZE AND,QUANTITY.                  END USE: BOX LINER,,,,,,,,,,,,,,,,
G11710 BORAX,1299,GRADE: 35 LB. BLEACHED     KRAFT.,COATING: WET WAX TO 50 LB  FINISH.,SIZE: 6 X 10 " SHEETS      PACK: 10 LB PGS IN CARTON,LABEL: ITEMSIZEQUANTITY  *,END USE: BOX LINER FOOD    ITEMS,,,,,,,,,,,,,,,,
G11711 BORAX,1300,GRADE: 35 LB BLEACHED      KRAFT,COATING: DRY WAX TO 40#    SIZE: 9 X 16" SHEETS,PACK: 50 LB BULK IN MICA   12X15"OUTTERS,LABEL: ITEMSIZEQUANTITY  END USE: FOOD WRAP,,,,,,,,,,,,,,,,,
G11712 BORAX,1301,GRADE: 35 LB. BLEACHED     KRAFT,COATING: WET WAX TO 50#    SIZE: 7 X 10-1/2" SHEETS,PACK: 50 LB. BULK IN CTNS  *,LABEL: ITEMSIZEQUANTITY  END USE: MEAT INTERLEAVER,,,,,,,,,,,,,,,,,
G11714 BORAX,1302,GRADE: 40 LB BLEACHED      KRAFT WITH WET STRENGTH,MATCH CUST SAMPLE,COATING: NONE              *,SIZE: 15 X 20 SHEETS       PACK: 50 LBS PER CARTON,LABEL: ITEMSIZEQUANTITY  *,END USE: FISH WRAPPER,,,,,,,,,,,,,,,
G11717 BORAX,1303,GRADE: 35 LB. BLEACHED     KRAFT,COATING: DRY WAX TO 40LB   FINISH,SIZE: 5 X 9" SHEETS        PACK: 10 LB PGS IN CTNS,LABEL: ITEMSIZEQUANTITY  *,END USE: COOKIE SEPARATOR  SHEET,,,,,,,,,,,,,,,,
G11723 BORAX,4002,GRADE: 20 LB BLEACHED      KRAFT,COATING: WET WAX TO 30 LB  SIZE: 1-3/4" WIDTH ROLLS,PACK: BUNDLE WRAP STACK    ON PALLETS,LABEL: ITEMSIZEQUANTITY  *,DIAMETER: 6"OD MAX.ON 3" CORE    END USE: TAFFY LINER,,,,,,,,,,,,,,,,
G11724 BORAX,1304,GRADE: 35 LB BLEACHED      KRAFT,COATING: DRY WAX TO 40 LB  FINISH,SIZE: 5 X 10" SHEETS       PACK: 50 LB N BULK CTN,LABEL: ITEMSIZEQUANTITY  *,END USE: FOOD WRAP,,,,,,,,,,,,,,,,
G11726 BORAX,1305,GRADE: 35 LB. BLEACHED     KRAFT,COATING: WET WAX TO 50LB   DELWRAP TYPE,SIZE: 10 X 11" SHEETS      PACK: 50 LBS. BULK PER,CTN STACK ON PALLETS       LABEL: ITEMSIZEQUANTITY,END USE: FOOD SEPARATOR,,,,,,,,,,,,,,,,
G11850 BOVA,1327,GRADE: 45 LB BLEACHED KRAFT. END USE: PIZZA,LINER. COATING: DRY WAX,TO 50# FINISH. SIZE:       14 X 14" SHEET SIZE REW-,IND & PACKING: PACK 50#,BULK BUNDLES OR CARTONS.   LABEL: SIZE QUANTITY &,ITEM.,,,,,,,,,,,,,,,
G12202 BURKE,1355,GRADE: 30 LB BLEACHED      KRAFT WET STRENGTH.,COATING: DRY WAX TO 39#    SAME AS MEAT PAK.,SIZE: 15" WIDTH            PACK: 1 ROLL PER BUNDLE,PLAIN WRAPPER.             LABEL: USE SPECIAL,CUSTOMER LABELS            DIAMETER OR FOOTAGE: 1200,LINEAL FEET PER ROLL 3"    CORE.,END USE: MEAT PAK.,,,,,,,,,,,,,,
G12203 BURKE,1356,GRADE: 30 LB BLEACHED      KRAFT.,COATING: DRY WAX TO 35 LB  FINISH.,SIZE: 5 X 10" SHEETS       PACK: 50 LBS #5 TELLY CTN,LABEL: ITEM SIZE AND     QUANTITY.,END USE: FOOD WRAP.,,,,,,,,,,,,,,,,
G12205 BURKE,4105,GRADE: 30 LB LOIN WRAP     OIL TREATED.,COATING: NONE              SIZE: 15 X 20",PACK: 50 LB BULK BUNDLES   *,LABEL: 15 X 20" LOIN WRAP  "THOR" 50 LBS.,END USE: MEAT WRAPPER.,,,,,,,,,,,,,,,,
G12207 BURKE,1357,GRADE: 39# PEACH STEAK     PAPER LIGHT SHADE ONLY,COATING: NONE              SIZE: 12 X 26" SHEETS,PACK: 50 LBS. PER BDL      *,LABEL: ITEMSIZEQUANTITY  END USE: STEAK PAPER,,,,,,,,,,,,,,,,,
G12208 BURKE,1358,GRADE: 40 LB. J.R. PEACH   STEAK,COATING: NONE              SIZE: 8 X 10" SHEETS,PACK: 50 LB. BULK CTNS     *,LABEL: ITEMSIZEQUANTITY  END USE: STEAK PAPER,,,,,,,,,,,,,,,,,
G12209 BURKE,1359,GRADE: 35# BLEACHED KRAFT  COATING: WET WAX TO 50#,SIZE: 10 X 10" SHEETS      *,PACK: 50#BULK CARTONS      LABEL: ITEM SIZE QTY.,END USE: FOOD SEPARATOR    *,,,,,,,,,,,,,,,,,
G12211 BURKE,4106,*****,BLIMPIE,***,GRADE: 19#CURTIS LAMBASE  KRAFT WITH WET STRENGTH,*,COATING: DRY WAX TO 21-23 LB FINISH,*,SIZE: 15 X 15" SHEETS,*,PACK: 1000 SHEETS PER PG. 4 PGS. PER BLIMPIE 1 CARTO,*,LABEL: BLIMPIE 15 X 15" 4/1000,*,PRINTING: PRINT FLEXO GREEN (MATCH SAMPLE),*,END USE: FOOD WRAP  MUST TAPE,,,,,
G12212 BURKE,4107,******,ITEM: BLIMPIE,*,GRADE: 19 LB CURTIS LAMBASE  WITH WET STRENGTH,*,COATING: DRY WAX TO 21-23 LB FINISH,*,SIZE: 20 X 20"SHEETS,*,PACK: 1000 SHEETS PER PG 2 PGS PER BLIMPIE #2 CTN,*,LABEL: BLIMPIE 20 X 20" 2/1000,*,PRINTING: PRINT FLEXO GREEN MATCH SAMPLE,*,END USE: FOOD WRAP MUST TAPE,,,,,
G12275 CJT,1369,GRADE: 18 LB BLEACHED      KRAFT WITH WET STRENGTH,COATING: DRY WAX TO 21 LB  FINISH,SIZE: 15 X 16" SHEETS      PACK: F/10# PER CS,LABEL: ITEMSIZEQUANTITY  *,END USE: FOOD WRAP,,,,,,,,,,,,,,,,
G12300 CM,1370,22"PLAIN 2 LB.     GRADE: 25 LB OPAQUE BL KFT MAX. TEAR,CT 39                      COATING: WET WAX TO 38 LB,FINISH WITH GLOSSTITE      SIZE: 22" WIDTH ROLLS,PACK: 1 ROLL PER BDL       STACK ON PALLETS,LABEL: ITEMSIZEQUANTITY  P/N PLAIN WAX PAPER 2 LB,DIAMETER: 11-1/2"OD 3"CORE MUST BE 3.750"CORE THICKN,COLORS: NONE               *,END USE: HEAT SEALING      BREAD WRAPPER,,,,,,,,,,,,,
G12301 CM,1371,17" PLAIN  GRADE: 25 LB. OPAQUE BL KFT MAX CT TEAR  39,COATING: WET WAX TO 38 LB,FINISH WITH GLOSSTITE      SIZE: 17" WIDTH ROLLS,PACK: 1 ROLL PER BDL       STACK ON PALLETS,MUST HAVE PALLET FLAGS     WITH ITEM & P/N AN880260,LABEL: ITEMSIZEQUANTITY  P/N PLAIN WAX PAPER,#AN880260,DIAMETER: 11.5" OD 3"CORE MUST BE 3.750"CORE THICKNES,END USE: HEAT SEALABLE     BREAD WRAP,,,,,,,,,,,,
G12302 CM,1372,MARY ANN WHITE PULLMAN 2 LB.,GRADE:25 LB.OPAQUE BL KRAFT MAX.CT TEAR 39 MIN MULLEN,COATING: WET WAX TO 38 LB  FINISH WITH GLOSSTITE,SIZE: 22" WIDTH ROLLS      PACK: 1 ROLL PER BDL,STACK ON PALLETS MUST HAVE PALLET FLAGS WITH,ITEM & P/N,LABEL: ITEMSIZEQUANTITY  P/N 23011       MARY ANN,WHITE PULLMAN 2 LB         DIAMETER: 11.5" OD 3"CORE,PRINT FLEXO BLUE 100% WHITE LAYDOWN MATCH SAMPLE,REWIND: N-1                *,END USE: HEAT SEALABLE BREAD WRAP,NOTE:MUST BE 3.750" CORE THICKNESS,,,,,,,,,
G12303 CM,1373,MARY ANN WHEAT PULLMAN 2   LB,GRADE:25 LB OPAQUE BL KRAFT MAX.CT TEAR 39 MIN MULLEN,COATING: WET WAX TO 38 LB  FINISH WITH GLOSSTITE,SIZE: 22" WIDTH ROLLS      PACK: 1 ROLL PER BDL.,STACK ON PALLETS   MUST HAVE PALLET FLAGS WITH,ITEM & P/N,LABEL: ITEMSIZEQUANTITY  P/N 23009,DIAMETER: 11.5" OD 3"CORE MUST BE 3.750" CORE THICKNE,PRINT FLEXO  ORANGE 100% WHITE LAYDOWN MATCH SAMPLE,REWIND: N-1,END USE: HEAT SEALABLE BREAD WRAP,,,,,,,,,,
G12304 CM,1374,MARY ANN GREEK TT PULLMAN  2 LB 22"WP,GRADE:25 LB OPAQUE BL KRAFT MAX.CT TEAR 39 MIN MULLEN,COATING: WET WAX TO 38 LB FINISH WITH GLOSSTITE,SIZE: 22" WIDTH ROLLS      PACK: 1 ROLL PER BDL.,STACK ON PALLETS MUST HAVE PALLET FLAGS WITH,ITEM & P/N,LABEL: ITEMSIZEQUANITY   P/N 23010,DIAMETER: 11.5"OD 3"CORE MUST BE 3.750"CORE THICKNESS,PRINT FLEXO BLUE 100% WHITE LAYDOWN MATCH SAMPLE,REWIND: N-1                END USE: HEAT SEALABLE,BREAD WRAP,,,,,,,,,,
G12305 CM,1375,MARY ANN 17"WP WHITE CLUB  1-1/2LB,GRADE:25 LB OPAQUE BL KRAFT MAX.CT TEAR 39 MIN MULLEN,COATING: WET WAX TO 38LB FINISH WITH GLOSSTITE,SIZE: 17" WIDTH ROLLS      PACK: 1 ROLL PER BDL.,STACK ON PALLETS MUST HAVE PALLET FLAGS WITH,ITEM & P/N,LABEL: ITEMSIZEQUANTITY  P/N 23012,DIAMETER: 11.5"OD 3"CORE MUST BE 3.750" CORE THICKNES,PRINT FLEXO RED 100% WHITE LAYDOWN USE CYL.NO.88,REWIND: N-1                END USE: HEAT SEALABLE,BREAD WRAP,,,,,,,,,,
G12306 CM,1376,WHEAT CLUB 1.5 LB  GRADE: 25 LB. OPAQUE BL KFT,MAX CT TEAR 39.MIN MULLEN 22 COATING: WET WAX TO 38 L,USE GLOSSTITE FORMULA      SIZE: 17" WIDTH ROLLS,PACK: BDL WRAP STACK ON PALLETS,LABEL: ITEMSIZEQUANTITY  P/N 23013,DIAMETER: 11-1/2" OD 3"CORE MUST BE 3.750"CORE THICKN,PRINT: FLEXO MAROON 100% WHITE LAYDOWN MATCH SAMPLE,REWIND: N-1                *,END USE: HEAT SEALABLE BREAD WRAPPER,,,,,,,,,,,,
G12376 CAMDEN,1377,GRADE: 25# BL KRAFT        (MUST BE 25# + OR - 5%),COATING: DRY WAX TO 30#    FINISH.,SIZE: 12 X 12" SHEETS      *,PACK: 10# PER PACKAGE      5 PACKAGES PER CTN. NO,DEVIATION ON PACKING.,LABEL: ITEM SIZE QTY       *,END USE: BID ITEM          SANDWICH WRAP,,,,,,,,,,,,,,
G12402 CANDYKIT,1378,*,GRADE: 35 LB SILICONE GREASEPROOF ONLY NO SUB,*,COATING: AS IS,*,SIZE: 12-7/8 X 18-7/8" SHEETS,*,PACK: 1000 SHEETS PER PG.,*,LABEL: ITEM SIZE QTY,*,END USE: FUDGE BAKING PAN LINER,*,,,,,,,,
G12403 CANDYKIT,1379,35# SILICONE. END USE:     CANDY WRAP. PACK: 1000,SHEETS PER CARTON.,,,,,,,,,,,,,,,,,,,
G12404 CANDYKIT,1380,,GRADE : 35 LB SILICONE GREASEPROOF ONLY NO SUB,*,COATING: AS IS,*,SIZE: 14-3/4 X 20-3/4" SHEETS,*,PACK: 1000 SHEETS PER PKG.,*,LABEL: ITEM SIZE QTY,*,END USE: FUDGE BAKING PAN LINER,,,,,,,,,
G12405 CANDYKIT,4014,GRADE: 18 LB BLEACHED      KRAFT,COATING: WET WAX TO 28     LB FINISH,SIZE: 5-3/8 X 9" SHEETS    PACK: 5 LB SHRINK WRAP,PACKAGES IN CARTONS        LABEL: ITEMSIZEQUANTITY,END USE: FUDGE             INTERLEAVER,NEEDS SURFACE WAX,,,,,,,,,,,,,,,
G12406 CANDYKIT,4015,GRADE: 18 LB BLEACHED      KRAFT,COATING: WET WAX TO 28 LB  FINISH,SIZE: 11 X 17" SHEETS      PACK:5LB SHRINK WRAP PKGS,IN CARTONS                 LABEL: ITEMSIZEQUANTITY,END USE: FUDGE             INTERLEAVER NEEDS SURFACE,WAX,,,,,,,,,,,,,,,
G12407 CANDYKIT,4016,******,GRADE: 18 BLEACHED KRAFT,******,COATING: WET WAX TO 28 LB. FINISH,******,SIZE: 7 X 12" SHEETS,*,PACK: 5 LB PGS. THEN IN 40 LB BDLS.,*,LABEL: ITEM SIZE QTY,*,END USE: CANDY BOX INTERLEAVER,*,,,,,,,,
G12408 CANDYKIT,4017,GRADE: 18 LB BLEACHED      KRAFT,COATING: WET WAX TO 28     LB FINISH,SIZE: 7 X 7" SHEETS        PACK: 5 LB SHRINK WRAP,PKGS IN CARTONS            LABEL: ITEMSIZEQUANTITY,END USE: FUDGE             INTERLEAVER NEEDS SURFACE,WAX,,,,,,,,,,,,,,,
G12500 CANOLI,1381,*,GRADE: 25# QUILON DO NOT SUBSTITUTE,*,COATING: NONE,*,SIZE: 7-1/4 X 10-3/4" SHEETS,*,PACK: 40 LBS BULK IN 18 X 18" MCN RSC CTN,*,LABEL: ITEM SIZE QTY,*,END USE: PASTRY WRAP,,,,,,,,,
